,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr,duration_min
47,Air India,2019-03-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,4667,2019,3,5,11,40,13,55,2,15
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,1 stop,No info,6117,2019,5,15,19,0,11,5,16,5
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,In-flight meal not included,11150,2019,6,27,23,5,19,0,19,55
50,Jet Airways,2019-09-03,Delhi,Cochin,DEL → COK,non-stop,In-flight meal not included,7202,2019,9,3,11,0,14,15,3,15
51,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,12121,2019,1,5,9,35,10,55,25,20
52,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4377,2019,3,24,22,20,1,10,2,50
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,18,21,15,0,15,3,0
54,Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4483,2019,3,4,23,55,2,45,2,50
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14231,2019,3,24,19,45,12,0,16,15
56,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,2 stops,No info,17345,2019,1,3,8,50,23,55,15,5
57,Vistara,2019-06-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,7414,2019,6,3,7,5,9,20,2,15
58,Multiple carriers,2019-06-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8073,2019,6,5,19,0,1,30,6,30
59,Vistara,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,1 stop,No info,12395,2019,6,3,15,40,16,45,25,5
60,Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,8366,2019,6,6,9,25,21,50,12,25
61,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5117,2019,3,4,6,5,9,25,27,20
62,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12524,2019,3,6,8,45,19,0,10,15
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7191,2019,5,15,15,0,1,30,10,30
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,5,24,7,5,9,20,2,15
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,24,10,35,21,0,10,25
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,non-stop,No info,5403,2019,4,24,9,45,12,35,2,50
67,Air India,2019-06-05,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3625,2019,6,5,13,55,15,25,1,30
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,10861,2019,5,21,5,55,19,15,13,20
69,IndiGo,2019-12-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,6297,2019,12,3,13,20,15,35,2,15
70,Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,5678,2019,1,6,7,5,8,30,1,25
71,Jet Airways,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,9134,2019,9,3,5,45,8,15,26,30
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10791,2019,6,24,11,40,19,0,7,20
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,12819,2019,6,24,23,5,12,35,13,30
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6893,2019,3,21,5,5,10,5,5,0
75,Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,7240,2019,9,3,9,50,12,35,2,45
76,GoAir,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3898,2019,3,4,11,40,14,30,2,50
77,IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,4049,2019,3,4,6,25,7,55,1,30
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,17,30,12,35,19,5
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,non-stop,No check-in baggage included,3332,2019,3,21,8,20,10,35,2,15
80,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,9,6,21,10,12,0,14,50
81,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,7229,2019,3,24,19,55,22,35,2,40
82,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13941,2019,6,5,6,30,4,40,22,10
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,27,11,25,21,0,9,35
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10197,2019,5,18,9,0,19,0,10,0
85,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,13712,2019,6,3,14,5,11,25,21,20
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5636,2019,6,24,2,0,7,25,5,25
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,13014,2019,6,6,9,40,4,25,18,45
88,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,7064,2019,1,4,8,25,20,45,12,20
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,10703,2019,5,24,20,25,14,25,18,0
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9646,2019,5,27,13,15,22,30,9,15
91,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17057,2019,6,3,2,15,13,20,11,5
92,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13817,2019,12,3,16,55,10,25,17,30
93,Air India,2019-06-03,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,13748,2019,6,3,5,55,19,15,13,20
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,non-stop,No info,4880,2019,4,21,20,45,23,20,2,35
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,non-stop,No info,3540,2019,6,21,5,15,7,40,2,25
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,non-stop,No check-in baggage included,3257,2019,5,15,5,55,8,35,2,40
97,Jet Airways,2019-03-06,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,6478,2019,3,6,19,50,22,50,3,0
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,8040,2019,6,18,7,5,8,30,1,25
99,Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,No info,14300,2019,12,6,20,0,12,35,16,35
100,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,5,15,8,25,20,45,12,20
101,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14939,2019,9,6,20,0,8,15,12,15
102,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,20,55,4,25,7,30
103,Air India,2019-12-05,Kolkata,Banglore,CCU → MAA → BLR,1 stop,No info,6528,2019,12,5,14,35,14,35,24,0
104,Air India,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,6121,2019,1,5,6,10,8,55,2,45
105,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,In-flight meal not included,13029,2019,5,18,19,30,4,25,8,55
106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,11421,2019,3,27,11,40,18,50,7,10
107,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7574,2019,3,27,4,45,19,15,14,30
108,Air India,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,2 stops,No info,11596,2019,9,5,12,55,19,15,30,20
109,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,5,24,23,5,19,0,19,55
110,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13555,2019,3,18,14,5,5,5,15,0
111,IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,non-stop,No info,5780,2019,12,4,18,55,21,50,2,55
112,Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9397,2019,12,5,20,20,9,5,12,45
113,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,6,3,18,15,4,25,10,10
114,GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5281,2019,6,27,7,0,12,55,5,55
115,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,10348,2019,5,18,7,5,22,30,15,25
116,Air India,2019-06-03,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,12677,2019,6,3,17,20,9,25,16,5
117,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15147,2019,3,3,15,25,1,35,10,10
118,Vistara,2019-12-06,Banglore,Delhi,BLR → DEL,non-stop,No info,4668,2019,12,6,7,0,9,40,2,40
119,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15554,2019,9,5,7,5,19,0,11,55
120,SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3971,2019,9,4,5,55,8,35,2,40
121,Air India,2019-03-05,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3100,2019,3,5,15,0,16,25,1,25
122,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,20,0,10,5,14,5
123,Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,27430,2019,1,3,23,0,19,15,20,15
124,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,3540,2019,12,5,5,15,7,40,2,25
125,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,2 stops,No info,10676,2019,5,21,12,0,11,10,23,10
126,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13044,2019,12,6,14,5,8,15,18,10
127,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14388,2019,6,5,20,0,12,0,16,0
128,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,24,4,0,6,50,2,50
129,IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,non-stop,No info,3597,2019,3,6,14,45,17,5,2,20
130,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,1 stop,No info,5932,2019,3,21,11,50,19,50,8,0
131,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,11,30,4,25,16,55
132,Vistara,2019-12-05,Delhi,Cochin,DEL → COK,non-stop,No info,6216,2019,12,5,14,40,17,50,3,10
133,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,6,15,20,25,23,10,2,45
134,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14067,2019,5,21,11,30,1,30,14,0
135,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,5,18,19,10,19,0,23,50
136,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,No info,13376,2019,6,6,6,45,4,25,21,40
137,Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,No info,10441,2019,6,27,22,0,19,15,21,15
138,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,4030,2019,5,24,6,0,8,45,2,45
139,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,3,3,8,0,18,50,10,50
140,Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13017,2019,9,4,17,30,1,30,8,0
141,GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,6686,2019,6,6,23,30,7,45,8,15
142,IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5636,2019,6,15,2,0,7,25,5,25
143,IndiGo,2019-09-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6442,2019,9,6,7,35,16,10,8,35
144,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9486,2019,5,21,13,5,0,55,11,50
145,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,5,21,20,0,23,35,27,35
146,Jet Airways,2019-03-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,In-flight meal not included,15318,2019,3,6,20,0,4,25,8,25
147,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5117,2019,3,4,12,30,9,25,20,55
148,IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6147,2019,6,24,15,10,20,0,4,50
149,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7005,2019,9,6,12,50,21,0,8,10
150,SpiceJet,2019-03-04,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,3,4,22,20,0,40,2,20
151,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,2 stops,In-flight meal not included,9270,2019,3,21,18,25,18,50,24,25
152,GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3898,2019,6,27,11,40,14,30,2,50
153,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,12,5,8,25,20,45,12,20
154,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,5,24,20,0,8,15,12,15
155,Air India,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,2 stops,No info,10697,2019,9,5,8,20,7,55,23,35
156,Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,No info,14300,2019,6,27,20,0,12,35,16,35
157,IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,8855,2019,3,3,18,55,21,45,2,50
158,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,12,5,16,30,18,15,25,45
159,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,6,3,2,15,4,25,26,10
160,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,1,5,9,35,14,25,28,50
161,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4777,2019,3,24,0,40,3,25,2,45
162,Air India,2019-09-06,Kolkata,Banglore,CCU → BBI → BLR,1 stop,No info,7662,2019,9,6,12,0,13,15,25,15
163,IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6442,2019,9,5,6,50,16,10,9,20
164,SpiceJet,2019-12-06,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,5264,2019,12,6,8,45,13,15,4,30
165,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,13,0,4,25,15,25
166,Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,6092,2019,3,3,13,55,15,25,1,30
167,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,non-stop,No info,3311,2019,5,21,5,55,8,35,2,40
168,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,6540,2019,3,27,19,15,4,25,9,10
169,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3419,2019,5,27,1,30,4,15,2,45
170,Jet Airways,2019-03-04,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,5177,2019,3,4,14,0,12,35,22,35
171,Air India,2019-04-18,Delhi,Cochin,DEL → COK,non-stop,No info,8246,2019,4,18,18,5,21,10,3,5
172,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14676,2019,9,6,9,35,21,5,11,30
173,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,6,27,11,30,21,0,9,30
174,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,21,10,9,20,12,10
175,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13044,2019,12,6,16,30,10,5,17,35
176,IndiGo,2019-03-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5073,2019,3,4,20,25,1,30,5,5
177,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9345,2019,5,21,17,0,18,50,25,50
178,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,14,5,10,5,20,0
179,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14277,2019,5,21,8,0,21,0,13,0
180,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,1,6,10,0,4,25,18,25
181,Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,5678,2019,3,27,19,35,21,5,1,30
182,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13727,2019,5,15,16,0,1,30,9,30
183,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,20,0,12,0,16,0
184,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,3858,2019,12,5,14,45,17,5,2,20
185,SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,4812,2019,6,24,8,45,13,15,4,30
186,IndiGo,2019-06-27,Delhi,Cochin,DEL → LKO → COK,1 stop,No info,5775,2019,6,27,21,50,3,35,5,45
187,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,10539,2019,6,6,9,35,9,45,24,10
188,IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,3,6,15,30,18,5,2,35
189,Air Asia,2019-12-06,Banglore,Delhi,BLR → DEL,non-stop,No info,3383,2019,12,6,11,10,13,55,2,45
190,IndiGo,2019-03-03,Banglore,New Delhi,BLR → HYD → DEL,1 stop,No info,8738,2019,3,3,12,10,17,5,4,55
191,Air India,2019-03-27,Delhi,Cochin,DEL → TRV → COK,1 stop,No info,7165,2019,3,27,5,15,6,50,25,35
192,IndiGo,2019-06-24,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6412,2019,6,24,16,10,22,30,6,20
193,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,6,27,18,55,22,0,3,5
194,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,20,35,15,15,18,40
195,SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,non-stop,No check-in baggage included,3543,2019,6,27,9,45,12,0,2,15
196,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,12471,2019,12,6,16,30,4,40,12,10
197,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,9,0,4,25,19,25
198,Air India,2019-03-18,Banglore,New Delhi,BLR → DEL,non-stop,No info,4441,2019,3,18,13,20,16,10,2,50
199,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12537,2019,3,27,7,5,15,30,8,25
200,GoAir,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,10091,2019,3,24,22,25,7,40,9,15
201,Air India,2019-03-06,Banglore,Delhi,BLR → DEL,non-stop,No info,6961,2019,3,6,21,5,23,55,2,50
202,IndiGo,2019-04-24,Delhi,Cochin,DEL → COK,non-stop,No info,5013,2019,4,24,5,35,8,50,3,15
